dap,obs_value,depth_m,run_id,variable,obs_type,units,year,doy,valid
148,0.387213379,0.6,SC0072,swc,avg,cm3_cm3,2014,345,1
151,0.332098068,0.1,SC0072,swc,avg,cm3_cm3,2014,348,1
151,0.36566635,0.3,SC0072,swc,avg,cm3_cm3,2014,348,1
151,0.404405398,0.6,SC0072,swc,avg,cm3_cm3,2014,348,1
159,0.321375055,0.1,SC0072,swc,avg,cm3_cm3,2014,356,1
159,0.358214068,0.3,SC0072,swc,avg,cm3_cm3,2014,356,1
159,0.396768448,0.6,SC0072,swc,avg,cm3_cm3,2014,356,1
165,0.299717487,0.1,SC0072,swc,avg,cm3_cm3,2014,362,1
165,0.34311923,0.3,SC0072,swc,avg,cm3_cm3,2014,362,1
165,0.390567972,0.6,SC0072,swc,avg,cm3_cm3,2014,362,1
174,0.340010322,0.1,SC0072,swc,avg,cm3_cm3,2015,6,1
174,0.37203939,0.3,SC0072,swc,avg,cm3_cm3,2015,6,1
174,0.413697857,0.6,SC0072,swc,avg,cm3_cm3,2015,6,1
176,0.321803075,0.1,SC0072,swc,avg,cm3_cm3,2015,8,1
176,0.354959049,0.3,SC0072,swc,avg,cm3_cm3,2015,8,1
176,0.397685379,0.6,SC0072,swc,avg,cm3_cm3,2015,8,1
180,0.289310124,0.1,SC0072,swc,avg,cm3_cm3,2015,12,1
180,0.336277145,0.3,SC0072,swc,avg,cm3_cm3,2015,12,1
180,0.3865192,0.6,SC0072,swc,avg,cm3_cm3,2015,12,1
184,0.251373564,0.1,SC0072,swc,avg,cm3_cm3,2015,16,1
184,0.311687532,0.3,SC0072,swc,avg,cm3_cm3,2015,16,1
184,0.369643763,0.6,SC0072,swc,avg,cm3_cm3,2015,16,1
187,0.241867331,0.1,SC0072,swc,avg,cm3_cm3,2015,19,1
187,0.298436072,0.3,SC0072,swc,avg,cm3_cm3,2015,19,1
187,0.357730381,0.6,SC0072,swc,avg,cm3_cm3,2015,19,1
189,0.285524315,0.1,SC0072,swc,avg,cm3_cm3,2015,21,1
189,0.305903954,0.3,SC0072,swc,avg,cm3_cm3,2015,21,1
189,0.354248871,0.6,SC0072,swc,avg,cm3_cm3,2015,21,1
195,0.320112948,0.1,SC0072,swc,avg,cm3_cm3,2015,27,1
195,0.356024715,0.3,SC0072,swc,avg,cm3_cm3,2015,27,1
195,0.396186198,0.6,SC0072,swc,avg,cm3_cm3,2015,27,1
197,0.323785548,0.1,SC0072,swc,avg,cm3_cm3,2015,29,1
197,0.358020979,0.3,SC0072,swc,avg,cm3_cm3,2015,29,1
197,0.393004983,0.6,SC0072,swc,avg,cm3_cm3,2015,29,1
202,0.309967378,0.1,SC0072,swc,avg,cm3_cm3,2015,34,1
202,0.338240477,0.3,SC0072,swc,avg,cm3_cm3,2015,34,1
202,0.379147482,0.6,SC0072,swc,avg,cm3_cm3,2015,34,1
205,0.331882665,0.1,SC0072,swc,avg,cm3_cm3,2015,37,1
205,0.363505279,0.3,SC0072,swc,avg,cm3_cm3,2015,37,1
205,0.404008023,0.6,SC0072,swc,avg,cm3_cm3,2015,37,1
208,0.318426884,0.1,SC0072,swc,avg,cm3_cm3,2015,40,1
208,0.35032305,0.3,SC0072,swc,avg,cm3_cm3,2015,40,1
208,0.391483828,0.6,SC0072,swc,avg,cm3_cm3,2015,40,1
210,0.33929453,0.1,SC0072,swc,avg,cm3_cm3,2015,42,1
210,0.371893754,0.3,SC0072,swc,avg,cm3_cm3,2015,42,1
210,0.413485753,0.6,SC0072,swc,avg,cm3_cm3,2015,42,1
211,0.332926205,0.1,SC0072,swc,avg,cm3_cm3,2015,43,1
211,0.364925238,0.3,SC0072,swc,avg,cm3_cm3,2015,43,1
211,0.405285481,0.6,SC0072,swc,avg,cm3_cm3,2015,43,1
228,0.331219493,0.1,SC0072,swc,avg,cm3_cm3,2015,60,1
228,0.360287651,0.3,SC0072,swc,avg,cm3_cm3,2015,60,1
228,0.400422144,0.6,SC0072,swc,avg,cm3_cm3,2015,60,1
229,0.310922631,0.1,SC0072,swc,avg,cm3_cm3,2015,61,1
229,0.352851048,0.3,SC0072,swc,avg,cm3_cm3,2015,61,1
229,0.39518862,0.6,SC0072,swc,avg,cm3_cm3,2015,61,1
237,0.348436227,0.1,SC0072,swc,avg,cm3_cm3,2015,69,1
237,0.374627781,0.3,SC0072,swc,avg,cm3_cm3,2015,69,1
237,0.420101422,0.6,SC0072,swc,avg,cm3_cm3,2015,69,1
246,0.346952338,0.1,SC0072,swc,avg,cm3_cm3,2015,78,1
246,0.373218869,0.3,SC0072,swc,avg,cm3_cm3,2015,78,1
246,0.426119801,0.6,SC0072,swc,avg,cm3_cm3,2015,78,1
248,0.345362198,0.1,SC0072,swc,avg,cm3_cm3,2015,80,1
248,0.379203518,0.3,SC0072,swc,avg,cm3_cm3,2015,80,1
248,0.413669335,0.6,SC0072,swc,avg,cm3_cm3,2015,80,1
250,0.343183934,0.1,SC0072,swc,avg,cm3_cm3,2015,82,1
250,0.372571588,0.3,SC0072,swc,avg,cm3_cm3,2015,82,1
250,0.414038339,0.6,SC0072,swc,avg,cm3_cm3,2015,82,1
253,0.332438549,0.1,SC0072,swc,avg,cm3_cm3,2015,85,1
253,0.364858123,0.3,SC0072,swc,avg,cm3_cm3,2015,85,1
253,0.404477824,0.6,SC0072,swc,avg,cm3_cm3,2015,85,1
258,0.337630816,0.1,SC0072,swc,avg,cm3_cm3,2015,90,1
258,0.36595319,0.3,SC0072,swc,avg,cm3_cm3,2015,90,1
258,0.401999279,0.6,SC0072,swc,avg,cm3_cm3,2015,90,1
266,0.32669506,0.1,SC0072,swc,avg,cm3_cm3,2015,98,1
266,0.352025357,0.3,SC0072,swc,avg,cm3_cm3,2015,98,1
266,0.391207828,0.6,SC0072,swc,avg,cm3_cm3,2015,98,1
268,0.323392399,0.1,SC0072,swc,avg,cm3_cm3,2015,100,1
268,0.348790298,0.3,SC0072,swc,avg,cm3_cm3,2015,100,1
268,0.388800467,0.6,SC0072,swc,avg,cm3_cm3,2015,100,1
275,0.295594195,0.1,SC0072,swc,avg,cm3_cm3,2015,107,1
275,0.335136744,0.3,SC0072,swc,avg,cm3_cm3,2015,107,1
275,0.379342441,0.6,SC0072,swc,avg,cm3_cm3,2015,107,1
280,0.282928162,0.1,SC0072,swc,avg,cm3_cm3,2015,112,1
280,0.325576351,0.3,SC0072,swc,avg,cm3_cm3,2015,112,1
280,0.37291344,0.6,SC0072,swc,avg,cm3_cm3,2015,112,1
283,0.283118459,0.1,SC0072,swc,avg,cm3_cm3,2015,115,1
283,0.323980232,0.3,SC0072,swc,avg,cm3_cm3,2015,115,1
283,0.370601972,0.6,SC0072,swc,avg,cm3_cm3,2015,115,1
285,0.273543002,0.1,SC0072,swc,avg,cm3_cm3,2015,117,1
285,0.319922795,0.3,SC0072,swc,avg,cm3_cm3,2015,117,1
285,0.367327961,0.6,SC0072,swc,avg,cm3_cm3,2015,117,1
287,0.26893519,0.1,SC0072,swc,avg,cm3_cm3,2015,119,1
287,0.312114963,0.3,SC0072,swc,avg,cm3_cm3,2015,119,1
287,0.363512192,0.6,SC0072,swc,avg,cm3_cm3,2015,119,1
292,0.309238535,0.1,SC0072,swc,avg,cm3_cm3,2015,124,1
292,0.331321082,0.3,SC0072,swc,avg,cm3_cm3,2015,124,1
292,0.367187803,0.6,SC0072,swc,avg,cm3_cm3,2015,124,1
295,0.298103651,0.1,SC0072,swc,avg,cm3_cm3,2015,127,1
295,0.317147167,0.3,SC0072,swc,avg,cm3_cm3,2015,127,1
295,0.360712993,0.6,SC0072,swc,avg,cm3_cm3,2015,127,1
300,0.324351725,0.1,SC0072,swc,avg,cm3_cm3,2015,132,1
300,0.341268708,0.3,SC0072,swc,avg,cm3_cm3,2015,132,1
300,0.362803325,0.6,SC0072,swc,avg,cm3_cm3,2015,132,1
