time,year,month,lat,lon,lw_down,sw_down,t,wind,q,pstar,Rainf_GPCC,precip,date_time_utc,date_time_local,cosz,diff_rad
432000,2003,1,-22.698538,-47.642881,416.6194,2.961805825,296.0620759,0.868256355,0.018283077,94216.67243,0.000170108,0,01/06/2003 0:00,01/05/2003 21:00,0,2.961805825
442800,2003,1,-22.698538,-47.642881,414.16486,0,296.3026994,0.764463286,0.017819936,94286.61887,0.000150423,0.000625824,01/06/2003 3:00,01/06/2003 0:00,0,0
453600,2003,1,-22.698538,-47.642881,412.8707,0,295.9565471,0.810545556,0.017431932,94200.07197,6.50E-05,0.000270213,01/06/2003 6:00,01/06/2003 3:00,0,0
464400,2003,1,-22.698538,-47.642881,411.09866,0.68259889,295.996322,0.764871719,0.017347499,94243.34045,3.43E-05,0.000142744,01/06/2003 9:00,01/06/2003 6:00,0.10873741,0.68259889
475200,2003,1,-22.698538,-47.642881,428.3742,159.6835737,298.9842924,1.12189988,0.019961645,94374.79269,0.000109935,0.000457202,01/06/2003 12:00,01/06/2003 9:00,0.722039862,156.1915039
486000,2003,1,-22.698538,-47.642881,443.24103,473.3976166,301.8090851,1.027063009,0.022767545,94384.44283,0.000337859,0.001405633,01/06/2003 15:00,01/06/2003 12:00,0.999090717,353.6129649
496800,2003,1,-22.698538,-47.642881,438.783,478.9171809,300.7927154,0.888507166,0.022308546,94253.51366,0.000316254,0.001315747,01/06/2003 18:00,01/06/2003 15:00,0.777597341,278.9913083
507600,2003,1,-22.698538,-47.642881,423.8978,216.5168323,298.6264286,0.637726118,0.020260724,94202.77687,0.000104224,0.000433499,01/06/2003 21:00,01/06/2003 18:00,0.18730755,81.79296291
518400,2003,1,-22.698538,-47.642881,405.06262,1.564988419,296.2119101,0.464923268,0.017663132,94374.44265,2.08E-05,8.64E-05,01/07/2003 0:00,01/06/2003 21:00,0,1.564988419
529200,2003,1,-22.698538,-47.642881,404.07022,0,298.0100218,1.064698401,0.019186031,94419.22942,0,0,01/07/2003 3:00,01/07/2003 0:00,0,0
540000,2003,1,-22.698538,-47.642881,405.03036,0,295.6312639,0.969376231,0.01724459,94315.37915,0,0,01/07/2003 6:00,01/07/2003 3:00,0,0
550800,2003,1,-22.698538,-47.642881,409.11243,0.65365161,294.3996998,0.835135582,0.016178994,94406.26007,0,0,01/07/2003 9:00,01/07/2003 6:00,0.108001722,0.65365161
561600,2003,1,-22.698538,-47.642881,412.48914,295.0307815,299.5587584,1.559770091,0.020433782,94509.85573,0.000157319,0,01/07/2003 12:00,01/07/2003 9:00,0.721805717,251.2043943
572400,2003,1,-22.698538,-47.642881,437.4786,640.9641888,303.0249861,1.267926917,0.023692725,94576.37338,0.000357411,0,01/07/2003 15:00,01/07/2003 12:00,0.999083137,418.2084028
583200,2003,1,-22.698538,-47.642881,450.37552,624.2090968,304.8867488,0.818768712,0.025771253,94420.25384,0.000303867,0,01/07/2003 18:00,01/07/2003 15:00,0.777408629,293.4120554
594000,2003,1,-22.698538,-47.642881,438.8204,264.9894195,302.4423639,0.602730776,0.023068976,94342.7958,5.07E-05,0,01/07/2003 21:00,01/07/2003 18:00,0.186636114,100.5767936
604800,2003,1,-22.698538,-47.642881,412.3652,5.786332195,299.3261573,0.66559329,0.020296021,94449.8526,3.20E-05,0,01/08/2003 0:00,01/07/2003 21:00,0,5.786332195
615600,2003,1,-22.698538,-47.642881,393.844,0,297.429482,0.771966868,0.018710232,94425.69576,0,0,01/08/2003 3:00,01/08/2003 0:00,0,0
626400,2003,1,-22.698538,-47.642881,376.7055,0,294.5555937,0.725910986,0.016499642,94275.67405,0,0,01/08/2003 6:00,01/08/2003 3:00,0,0
637200,2003,1,-22.698538,-47.642881,372.21307,1.539055631,292.5658784,0.730929684,0.01460391,94321.74952,0,0,01/08/2003 9:00,01/08/2003 6:00,0.107222304,1.539055631
648000,2003,1,-22.698538,-47.642881,429.09982,326.3560001,299.5853045,1.230723127,0.020575817,94410.67669,0.000219498,0,01/08/2003 12:00,01/08/2003 9:00,0.721554736,277.4808871
658800,2003,1,-22.698538,-47.642881,452.93033,735.6470093,305.3132531,1.043381081,0.02395755,94369.35434,0.000251224,0,01/08/2003 15:00,01/08/2003 12:00,0.99907087,461.2042409
669600,2003,1,-22.698538,-47.642881,456.74445,778.0478679,305.8510503,1.245076635,0.02467027,94185.92155,0.000272974,0,01/08/2003 18:00,01/08/2003 15:00,0.777205518,258.3702113
680400,2003,1,-22.698538,-47.642881,446.19214,301.8776602,302.7721106,1.041360919,0.023483063,94130.82907,0.000260637,0,01/08/2003 21:00,01/08/2003 18:00,0.185924394,114.7717609
691200,2003,1,-22.698538,-47.642881,424.12012,6.668440153,298.8873275,1.026650699,0.020594691,94280.09903,0.000187512,0,01/09/2003 0:00,01/08/2003 21:00,0,6.668440153
702000,2003,1,-22.698538,-47.642881,413.3464,0,293.7475559,0.524750275,0.016419244,94152.54041,0.000102246,0.000158905,01/09/2003 3:00,01/09/2003 0:00,0,0
712800,2003,1,-22.698538,-47.642881,412.59045,0,292.6349453,0.492698354,0.015818577,94019.79722,9.64E-05,0.000149662,01/09/2003 6:00,01/09/2003 3:00,0,0
723600,2003,1,-22.698538,-47.642881,411.29022,0.38342393,292.1102967,0.481805832,0.015381363,94094.55777,0.000141412,0.000219666,01/09/2003 9:00,01/09/2003 6:00,0.106399313,0.38342393
734400,2003,1,-22.698538,-47.642881,420.4271,287.995642,297.4855587,1.283228909,0.018179955,94240.49879,0,0,01/09/2003 12:00,01/09/2003 9:00,0.721286472,263.3199349
745200,2003,1,-22.698538,-47.642881,461.1755,769.0773108,303.8409171,1.041141642,0.023137185,94088.72672,0.000115945,0.000180145,01/09/2003 15:00,01/09/2003 12:00,0.999053196,502.3402965
756000,2003,1,-22.698538,-47.642881,462.1904,828.8298733,305.9343138,1.048893345,0.024831973,93870.40525,0.000165401,0.00025693,01/09/2003 18:00,01/09/2003 15:00,0.776987505,299.045092
766800,2003,1,-22.698538,-47.642881,454.43585,317.133583,302.9951739,0.694177918,0.023733507,93819.66423,0.000122269,0.000189978,01/09/2003 21:00,01/09/2003 18:00,0.185172469,120.7742312
